organization,visible_url,domain,organization_type,confidence,notes
"VCU School of Public Health","https://sph.vcu.edu","vcu.edu","School of Public Health","high","Virginia Commonwealth University"
"University of Maryland School of Public Health","https://sph.umd.edu","umd.edu","School of Public Health","high","College Park, Maryland"
"University of Wisconsin Population Health Institute","https://uwph.pophealth.wisc.edu","wisc.edu","Population Health Institute","high","Translates research for policy"
"Yale School of Public Health","https://ysph.yale.edu","yale.edu","School of Public Health","high","Ivy League public health school"
"University of Pittsburgh School of Public Health","https://www.publichealth.pitt.edu","pitt.edu","School of Public Health","high","Pennsylvania consortium coordinator"
"WVU School of Public Health","https://publichealth.wvu.edu","wvu.edu","School of Public Health","high","Only SPH in West Virginia"
"UAMS Translational Research Institute","https://tri.uams.edu","uams.edu","Translational Research Institute","high","University of Arkansas for Medical Sciences"
"Harvard T.H. Chan School of Public Health","https://hsph.harvard.edu","hsph.harvard.edu","School of Public Health","high","Harvard public health school"
"University of Michigan School of Public Health","https://sph.umich.edu","sph.umich.edu","School of Public Health","high","Top-ranked public health school"
"AdventHealth Translational Research Institute","https://www.adventhealth.com/institutes/translational-research","adventhealth.com","Translational Research Institute","high","Health system research institute"
"Indiana University School of Public Health-Bloomington","https://publichealth.indiana.edu","publichealth.indiana.edu","School of Public Health","high","IU Bloomington campus"
"MedStar Health Research Institute","https://www.medstarhealth.org/innovation-and-research","medstarhealth.org","Research Institute","high","MHRI across 300+ sites of care"
"Texas A&M School of Public Health","https://public-health.tamu.edu","tamu.edu","School of Public Health","high","Largest SPH in Texas"
"University of Washington School of Public Health","https://sph.washington.edu","sph.washington.edu","School of Public Health","high","Pacific Northwest public health school"
"Boston University School of Public Health","https://www.bu.edu/sph","bu.edu","School of Public Health","high","Urban public health school"
"University of Minnesota School of Public Health","https://www.sph.umn.edu","sph.umn.edu","School of Public Health","high","Nationally top-ranked programs"
"UConn Health Clinical Research Center","https://health.uconn.edu/clinical-research-center","uconn.edu","Clinical Research Center","high","University of Connecticut"
"UTHealth Houston School of Public Health","https://sph.uth.edu","sph.uth.edu","School of Public Health","high","Texas publicly funded graduate school"
"University of Alabama at Birmingham School of Public Health","https://www.uab.edu/soph","uab.edu","School of Public Health","high","Southeastern public health school"
"SUNY Downstate Health Sciences University","https://www.downstate.edu","downstate.edu","School of Public Health","high","Brooklyn academic health center"
"University of Illinois Chicago School of Public Health","https://publichealth.uic.edu","publichealth.uic.edu","School of Public Health","high","Health equity and social justice focus"
"UC Berkeley School of Public Health","https://publichealth.berkeley.edu","berkeley.edu","School of Public Health","high","UC Berkeley public health"
"University of Nevada Reno School of Public Health","https://www.unr.edu/public-health","unr.edu","School of Public Health","high","CEPH-accredited programs"
"SRI International","https://www.sri.com","sri.com","Research Institute","medium","Independent nonprofit R&D institute"
"Washington University Bursky School of Public Health","https://publichealth.wustl.edu","wustl.edu","School of Public Health","high","WashU interdisciplinary public health"
"Georgia State University School of Public Health","https://publichealth.gsu.edu","publichealth.gsu.edu","School of Public Health","high","Urban public health school Atlanta"
"Brown University School of Public Health","https://sph.brown.edu","sph.brown.edu","School of Public Health","high","Ivy League public health"
"UCLA Fielding School of Public Health","https://ph.ucla.edu","ucla.edu","School of Public Health","high","UC Los Angeles public health"
"Milken Institute School of Public Health","https://publichealth.gwu.edu","gwu.edu","School of Public Health","high","George Washington University"
"UNC Gillings School of Global Public Health","https://sph.unc.edu","sph.unc.edu","School of Public Health","high","University of North Carolina"
"Loma Linda University School of Public Health","https://publichealth.llu.edu","llu.edu","School of Public Health","high","CEPH-accredited Adventist university"
"UMass Chan Medical School","https://www.umassmed.edu","umassmed.edu","Medical School","high","University of Massachusetts medical school"
"Rutgers School of Public Health","https://sph.rutgers.edu","sph.rutgers.edu","School of Public Health","high","New Jersey public health school"
"Children's Hospital of Philadelphia Research Institute","https://www.research.chop.edu","chop.edu","Research Institute","high","Pediatric academic research"
"UNM Health Sciences Center","https://hsc.unm.edu","unm.edu","Health Sciences Center","high","New Mexico academic medical center"
"Columbia University Mailman School of Public Health","https://www.publichealth.columbia.edu","columbia.edu","School of Public Health","high","Columbia University public health"
"National Institutes of Health","https://www.nih.gov","nih.gov","Federal Research Institute","high","Federal biomedical research agency"
"University of Nevada Las Vegas School of Public Health","https://www.unlv.edu/publichealth","unlv.edu","School of Public Health","high","UNLV public health school"
"Texas Tech University Health Sciences Center","https://www.ttuhsc.edu","ttuhsc.edu","Health Sciences Center","high","Texas academic health sciences"
"Old Dominion University Virginia Health Sciences","https://www.odu.edu/virginia-health-sciences","odu.edu","Health Sciences Center","high","EVMS joint program Norfolk VA"
"Johns Hopkins Bloomberg School of Public Health","https://publichealth.jhu.edu","jhu.edu","School of Public Health","high","Top-ranked public health school"
"Prisma Health Academics","https://academics.prismahealth.org","prismahealth.org","Academic Medical Center","medium","Prisma Health education and research"
"Drexel Dornsife School of Public Health","https://drexel.edu/dornsife","drexel.edu","School of Public Health","high","Philadelphia public health school"
"CUNY Graduate School of Public Health","https://sph.cuny.edu","cuny.edu","School of Public Health","high","City University of New York"
"Seattle Children's Research Institute","https://www.seattlechildrens.org/research","seattlechildrens.org","Research Institute","high","Pediatric academic medical center"
"San Diego State University School of Public Health","https://publichealth.sdsu.edu","sdsu.edu","School of Public Health","high","SDSU public health"
"UT Southwestern O'Donnell School of Public Health","https://sph.utsouthwestern.edu","utsouthwestern.edu","School of Public Health","high","UT Southwestern Medical Center"
"Augusta University","https://www.augusta.edu/sph","augusta.edu","Academic Medical Center","high","Georgia academic medical center"
"Scripps Research","https://www.scripps.edu","scripps.edu","Research Institute","high","Biomedical research La Jolla CA"
"Beth Israel Deaconess Medical Center","https://www.bidmc.org","bidmc.org","Academic Medical Center","high","Harvard teaching hospital Boston"
"Nationwide Children's Hospital Abigail Wexner Research Institute","https://www.nationwidechildrens.org/research","nationwidechildrens.org","Research Institute","high","Columbus OH pediatric research"
"Penn State Population Research Institute","https://pop.psu.edu","psu.edu","Research Institute","high","Pennsylvania State University"
"Colorado School of Public Health","https://coloradosph.cuanschutz.edu","cuanschutz.edu","School of Public Health","high","CU Anschutz multi-campus SPH"
"UT Health San Antonio","https://uthscsa.edu","uthscsa.edu","Academic Medical Center","high","University of Texas HSC San Antonio"
"Houston Methodist","https://www.houstonmethodist.org","houstonmethodist.org","Academic Medical Center","high","Medical research and academic institute"
"OhioHealth Research Institute","https://www.ohiohealth.com","ohiohealth.com","Research Institute","high","Ohio health system clinical research"
"Icahn School of Medicine at Mount Sinai","https://icahn.mssm.edu","mssm.edu","Medical School","high","NYC academic medical school"
"University of Memphis School of Public Health","https://www.memphis.edu/publichealth","memphis.edu","School of Public Health","high","Tennessee public health school"
"Colorado State University School of Public Health","https://publichealth.colostate.edu","colostate.edu","School of Public Health","high","Rocky Mountain accredited SPH"
"HCA Healthcare Research Institute","https://www.hcahealthcare.com","hcahealthcare.com","Research Institute","medium","Large clinical research network"
"Feinstein Institutes for Medical Research","https://feinstein.northwell.edu","northwell.edu","Research Institute","high","Northwell Health research arm"
"Penn Medicine","https://www.med.upenn.edu","upenn.edu","Academic Medical Center","high","University of Pennsylvania Medicine"
"Dell Medical School at UT Austin","https://dellmed.utexas.edu","utexas.edu","Medical School","high","UT Austin medical school"
"UC Merced Health Sciences Research Institute","https://hsri.ucmerced.edu","ucmerced.edu","Research Institute","high","UC Merced health research"
"Translational Genomics Research Institute","https://www.tgen.org","tgen.org","Research Institute","high","Arizona genomics nonprofit"
"HonorHealth Research Institute","https://honorhealthresearch.org","honorhealthresearch.org","Research Institute","high","Arizona clinical trials"
"University of Utah Health","https://healthcare.utah.edu","utah.edu","Academic Medical Center","high","Mountain West academic medical center"
"Fralin Biomedical Research Institute at VTC","https://fbri.vtc.vt.edu","vt.edu","Research Institute","high","Virginia Tech biomedical research"
"Sinai Chicago Population Health Institute","https://www.sinai.org","sinai.org","Population Health Institute","medium","Chicago community health equity"
"Massachusetts General Hospital Research Institute","https://www.massgeneral.org/research","massgeneral.org","Research Institute","high","Harvard teaching hospital research"
"Northeast Ohio Medical University","https://www.neomed.edu","neomed.edu","Medical School","high","NEOMED clinical translational research"
"John A. Burns School of Medicine","https://jabsom.hawaii.edu","hawaii.edu","Medical School","high","University of Hawaii medical school"
"Benaroya Research Institute","https://www.benaroyaresearch.org","benaroyaresearch.org","Research Institute","high","Seattle immune system research"
"Children's Hospital Los Angeles","https://www.chla.org","chla.org","Academic Medical Center","high","Saban Research Institute pediatric"
"New York Medical College","https://www.nymc.edu","nymc.edu","Medical School","high","Valhalla NY medical college"
"Hennepin Healthcare Research Institute","https://www.hennepinhealthcare.org","hennepinhealthcare.org","Research Institute","high","Minnesota academic research since 1952"
"Samford University School of Public Health","https://www.samford.edu/publichealth","samford.edu","School of Public Health","high","Birmingham Alabama"
"UMass Amherst School of Public Health and Health Sciences","https://www.umass.edu/public-health-sciences","umass.edu","School of Public Health","high","UMass flagship campus"
"UC Davis Health","https://health.ucdavis.edu","ucdavis.edu","Academic Medical Center","high","Sacramento clinical research center"
"UCSF Fresno","https://fresno.ucsf.edu","ucsf.edu","Academic Medical Center","high","UCSF regional campus clinical research"
"Sansum Diabetes Research Institute","https://www.sansum.org","sansum.org","Research Institute","high","Santa Barbara diabetes nonprofit"
"Texas Biomedical Research Institute","https://www.txbiomed.org","txbiomed.org","Research Institute","high","San Antonio bioscience research"
"Oregon Research Institute","https://www.ori.org","ori.org","Research Institute","medium","Behavioral sciences research Eugene OR"
"Children's Hospital of Orange County","https://www.choc.org/research","choc.org","Research Institute","high","600+ pediatric clinical studies"
"Sutter Health Research Institutes","https://www.sutterhealth.org/research","sutterhealth.org","Research Institute","high","California health system research"
"Rockefeller University","https://www.rockefeller.edu","rockefeller.edu","Research Institute","high","Biomedical research university NYC"
"Cleveland Clinic Lerner Research Institute","https://www.lerner.ccf.org","lerner.ccf.org","Research Institute","high","Cleveland Clinic research arm"
"Jackson State University School of Public Health","https://www.jsums.edu/health","jsums.edu","School of Public Health","high","HBCU epidemiology and biostatistics"
"Connecticut Children's Research Institute","https://www.connecticutchildrens.org/research-institute","connecticutchildrens.org","Research Institute","high","Pediatric healthcare research"
"University of Houston HEALTH Research Institute","https://www.uh.edu/centers-institutes/health","uh.edu","Research Institute","high","UH health research institute"
"Texas Tech University Health Sciences Center El Paso","https://www.ttuhscep.edu","ttuhscep.edu","Medical School","high","Paul L. Foster School of Medicine"
"USC Keck School of Medicine","https://keck.usc.edu","keck.usc.edu","Medical School","high","USC academic medical school"
"MetroHealth Research Institute","https://www.metrohealth.org/research","metrohealth.org","Research Institute","high","Cleveland health system research"
"Corewell Health Research Institute","https://www.corewellhealth.org/research-institute","corewellhealth.org","Research Institute","high","Michigan health system research"
"Norton Healthcare Clinical Research Institute","https://nortonhealthcare.com/research-and-clinical-trials","nortonhealthcare.com","Clinical Research Center","high","Louisville Kentucky research"
"University of Wisconsin-Milwaukee Zilber School of Public Health","https://uwm.edu/publichealth","uwm.edu","School of Public Health","high","UWM public health school"
"San Diego Biomedical Research Institute","https://www.sdbri.org","sdbri.org","Research Institute","high","Nonprofit biomedical research SD"
"University of Maryland School of Medicine","https://www.medschool.umaryland.edu","medschool.umaryland.edu","Medical School","high","UM Baltimore medical school"
"University of Miami Miller School of Medicine","https://med.miami.edu","med.miami.edu","Medical School","high","Diabetes Research Institute affiliate"
"University of Northern Colorado Colorado School of Public Health","https://www.unco.edu/nhs/colorado-school-public-health","unco.edu","School of Public Health","high","Colorado SPH collaborative campus"
"Rice University Medical Humanities Research Institute","https://mhri.rice.edu","mhri.rice.edu","Research Institute","high","Medical humanities research Houston"
"Banner Health Sun Health Research Institute","https://www.bannerhealth.com","bannerhealth.com","Research Institute","high","Sun City AZ aging research"
"University of Louisville School of Public Health and Information Sciences","https://publichealth.louisville.edu","louisville.edu","School of Public Health","high","Kentucky SPHIS"
"Emory University Rollins School of Public Health","https://sph.emory.edu","sph.emory.edu","School of Public Health","high","Atlanta top-tier SPH"
"University of South Carolina Arnold School of Public Health","https://sc.edu/study/colleges_schools/public_health","sc.edu","School of Public Health","high","Southeastern public health school"
"Oregon Health and Science University","https://www.ohsu.edu","ohsu.edu","Academic Medical Center","high","OCTRI translational research"
"Johns Hopkins Medicine","https://www.hopkinsmedicine.org/research","hopkinsmedicine.org","Academic Medical Center","high","Johns Hopkins academic medicine"
"LCMC Health Academic Medical Center","https://lcmchealth.org/academic-medical-center","lcmchealth.org","Academic Medical Center","high","UMC New Orleans Louisiana"
"Tulane University School of Public Health and Tropical Medicine","https://sph.tulane.edu","sph.tulane.edu","School of Public Health","high","New Orleans public health"
"UNT Health Science Center","https://www.unthealth.edu","unthealth.edu","Health Sciences Center","high","Fort Worth Texas HSC"
"LSU Health Sciences Center New Orleans","https://www.lsuhsc.edu","lsuhsc.edu","Health Sciences Center","high","Louisiana State University HSC"
"University of Virginia School of Medicine","https://med.virginia.edu","virginia.edu","Medical School","high","UVA academic medical center"
"City of Hope","https://www.cityofhope.org","cityofhope.org","Research Institute","high","Cancer center with TGen affiliate"
"UC San Diego Herbert Wertheim School of Public Health","https://sph.ucsd.edu","sph.ucsd.edu","School of Public Health","high","UCSD public health school"
"Rosalind Franklin University","https://www.rosalindfranklin.edu","rosalindfranklin.edu","Medical School","high","Chicago Medical School Illinois"
"Clemson University School of Health Research","https://www.clemson.edu/health-research","clemson.edu","Research Institute","high","CUSHR interdisciplinary health research"
"Richard M. Fairbanks School of Public Health","https://fairbanks.indianapolis.iu.edu","iu.edu","School of Public Health","high","Indiana University Indianapolis campus"
"University of Health Sciences and Pharmacy St. Louis","https://www.uhsp.edu","uhsp.edu","Health Sciences Center","high","St. Louis health sciences university"
"UVA Health","https://uvahealth.com","uvahealth.com","Academic Medical Center","high","University of Virginia health system"
"Robert Wood Johnson Medical School","https://rwjms.rutgers.edu","rwjms.rutgers.edu","Medical School","high","Rutgers New Jersey medical school"
"Medical University of South Carolina","https://muschealth.org","muschealth.org","Academic Medical Center","high","Charleston SC academic medical center"
"NYU Grossman School of Medicine","https://med.nyu.edu","nyu.edu","Medical School","high","NYU Langone academic medical school"
"University of Arizona Health Sciences","https://healthsciences.arizona.edu","arizona.edu","Health Sciences Center","high","Arizona academic health sciences"
