employer,result_title,google_result_url,apparent_domain,inferred_category,confidence,discovery_notes
IQVIA,Clinical Research Careers at IQVIA,https://jobs.iqvia.com/clinical-research-careers,jobs.iqvia.com,CRO,High,Major clinical research organization offering career opportunities in epidemiology biostatistics and RWE
University of Virginia School of Medicine,Job Opportunities - Public Health Sciences,https://med.virginia.edu/phs/job-opportunities,med.virginia.edu,Academic Medical Center,High,Academic medical center with public health sciences division seeking epidemiologists and data scientists
Thermo Fisher Scientific,Clinical Research,https://jobs.thermofisher.com/global/clinical-research,jobs.thermofisher.com,Pharmaceutical,High,Global pharmaceutical/biotech company with clinical research career opportunities
World Health Organization,Careers at WHO,https://www.who.int/careers,www.who.int,Public Health Organization,High,International public health organization with epidemiology and research positions
Mayo Clinic,Division of Clinical Trials and Biostatistics - Careers,https://www.mayo.edu/research/divisions/careers,www.mayo.edu,Academic Medical Center,High,Major academic medical center with biostatistics and epidemiology career opportunities
OPEN Health,Medical Communications & HEOR Jobs & Careers,https://www.openhealthgroup.com/join-us/careers,www.openhealthgroup.com,Medical Communications,High,Medical communications and HEOR consulting firm with specialized career opportunities
Merck,Biostatistics and Research Decision Sciences,https://jobs.merck.com/benefits,jobs.merck.com,Pharmaceutical,High,Major pharmaceutical company with biostatistics and research opportunities
New York State Department of Health,Careers in Public Health - New York State Department of Health,https://www.health.ny.gov/prevention/careers,www.health.ny.gov,Government,High,State health department with public health career opportunities including epidemiology
Alcanza Clinical Research,Jobs at Alcanza Clinical Research,https://alcanzaclinical.personio.com,alcanzaclinical.personio.com,CRO,High,Clinical research organization career page; ATS:Personio
Becton Dickinson,Search Health Economics & Outcomes Research Jobs,https://jobs.bd.com/category/health-economics-and-outcomes-research-jobs,jobs.bd.com,Medical Device,High,Medical device company with HEOR career opportunities
Yale School of Public Health,Public Health Jobs & Careers,https://ysph.yale.edu/about-school/public-health,ysph.yale.edu,University,High,Top university school of public health with career opportunities
NYC Health,Job Search - NYC Health,https://www.nyc.gov/site/doh/about/employment,www.nyc.gov,Government,High,New York City health department career opportunities
Velocity Clinical Research,Careers,https://velocityclinical.com/careers,velocityclinical.com,CRO,High,Clinical research organization with integrated research sites
PSCI,Healthcare and Epidemiology Jobs - PSCI,https://www.psci.com/healthcare-and-epidemiology-jobs,www.psci.com,Consulting,Medium,Healthcare consulting/research organization
University of Washington Epidemiology,Careers - UW Epidemiology - University of Washington,https://epi.washington.edu/careers/epi,epi.washington.edu,University,High,University epidemiology department career opportunities
NIEHS,Careers in Epidemiology,https://www.niehs.nih.gov/research/divisions/careers,www.niehs.nih.gov,Government,High,NIH institute with epidemiology career opportunities
Columbia Data Analytics,Careers - HEOR,https://columbiadataanalytics.com/careers,columbiadataanalytics.com,HEOR,High,HEOR and healthcare analytics consulting firm
ImmunityBio,Careers - Biotech Jobs,https://immunitybio.com/careers,immunitybio.com,Biotechnology,High,Biotechnology company career opportunities
NYU School of Global Public Health,Career Hub - NYU School of Global Public Health,https://publichealth.nyu.edu/career/hub,publichealth.nyu.edu,University,High,University school of public health career opportunities
Boston University,Epidemiology Careers | SPH,https://www.bu.edu/sph/exploring-public-health-careers,www.bu.edu,University,High,Boston University School of Public Health career opportunities
University of Chicago,Job Opportunities,https://health.uchicago.edu/people/job-opportunities,health.uchicago.edu,Academic Medical Center,High,Academic medical center with public health sciences career opportunities
University of Wisconsin School of Medicine,About Us - Employment Opportunities - School of Medicine,https://www.med.wisc.edu/about,www.med.wisc.edu,Academic Medical Center,High,University of Wisconsin medical school employment opportunities
UT Southwestern O'Donnell School of Public Health,Careers at O'Donnell School of Public Health,https://osph.utsouthwestern.edu/careers,osph.utsouthwestern.edu,University,High,UT Southwestern public health school career opportunities
Johns Hopkins Bloomberg School of Public Health,Careers - Johns Hopkins Bloomberg School of Public Health,https://publichealth.jhu.edu/careers,publichealth.jhu.edu,University,High,Top-ranked public health school career opportunities
University of Utah School of Medicine,Job Openings in PHS | Population Health Sciences,https://medicine.utah.edu/jobs,medicine.utah.edu,Academic Medical Center,High,Population health sciences division job opportunities
Duke Clinical and Translational Science Institute,Clinical Research Careers in North Carolina & Virginia,https://ctsi.duke.edu/career-development/clinical-research,ctsi.duke.edu,Research Institute,High,Research institute with clinical research career opportunities
Columbia University Mailman School of Public Health,Careers in Public Health,https://publichealth.columbia.edu/students/careers,publichealth.columbia.edu,University,High,Top public health school career opportunities
UC Berkeley School of Public Health,Job Openings | UC Berkeley Public Health,https://publichealth.berkeley.edu/about-us/jobs,publichealth.berkeley.edu,University,High,UC Berkeley public health school job opportunities
Wadsworth Center,Employment Opportunities | New York State Department of Health,https://www.wadsworth.org/about-us,www.wadsworth.org,Research Institute,High,New York State research institute employment opportunities
Dana-Farber Cancer Institute,Clinical Research Jobs at Dana-Farber Cancer Institute,https://careers.dana-farber.org/jobs/clinical-research,careers.dana-farber.org,Research Institute,High,Cancer research institute with clinical research career opportunities
Keck School of Medicine of USC,Careers - Department of Population and Public Health Sciences,https://keck.usc.edu/pshs/careers,keck.usc.edu,Academic Medical Center,High,USC medical school population health sciences careers
Alabama Department of Public Health,Employment Opportunities,https://www.alabamapublichealth.gov/employment/opportunities,www.alabamapublichealth.gov,Government,High,State public health department employment opportunities
UNM Health Sciences Center,Career Opportunities,https://hsc.unm.edu/students-prospective/career-opportunities,hsc.unm.edu,Academic Medical Center,High,University of New Mexico health sciences career opportunities
Boston Scientific,Health Economics & Reimbursement Jobs,https://jobs.bostonscientific.com/health-economics-and-reimbursement,jobs.bostonscientific.com,Medical Device,High,Medical device company with health economics career opportunities
University of Missouri School of Medicine,Employment - University of Missouri School of Medicine,https://medicine.missouri.edu/centers-institutes-labs/careers,medicine.missouri.edu,Academic Medical Center,High,Medical school employment opportunities including epidemiology
Tulane University,Epidemiology Employment,https://rsph.tulane.edu/epid/employment,rsph.tulane.edu,University,High,Tulane School of Public Health epidemiology employment
UT Health San Antonio,Careers | Population Health Sciences - School of Medicine,https://uthscsa.uthhealth.edu/phs/career,uthscsa.uthhealth.edu,Academic Medical Center,High,UT Health population health sciences careers
Microsoft Research,Real-world Evidence - Microsoft Research: Opportunities,https://www.microsoft.com/home/groups,www.microsoft.com,Health Technology,Medium,Microsoft research opportunities in real-world evidence and health data science
City of Hope,Clinical Research Jobs at City of Hope,https://www.cityofhope.jobs.org/clinical-research-jobs,www.cityofhope.jobs.org,Academic Medical Center,High,Comprehensive cancer center with clinical research opportunities
Tennessee Department of Health,Careers,https://www.tn.gov/health/careers,www.tn.gov,Government,High,State health department career opportunities
Beth Israel Lahey Health,Medical/Clinical Research,https://jobs.bilh.org/jobs/family/medical-clinical-research,jobs.bilh.org,Hospital System,High,Hospital system with clinical research career opportunities
King County Public Health,Jobs at Public Health - King County Washington,https://kingcounty.gov/dept/dph/jobs,kingcounty.gov,Government,High,Official King County government career page for Seattle and King County Public Health department
University of Alabama at Birmingham School of Public Health,Prospective Faculty and Staff | School of Public Health,https://www.uab.edu/shp/about/prospective-faculty-and-staff,www.uab.edu,University,High,UAB School of Public Health official employment opportunities page for faculty and staff
District 4 Public Health Georgia,Careers - District 4 Public Health,https://www.district4health.org/about-us/careers,www.district4health.org,Government,High,Official careers page for Georgia District 4 Public Health department
Colorado Department of Public Health and Environment,Careers,https://cdphe.colorado.gov/careers,cdphe.colorado.gov,Government,High,Official Colorado state government career page for Department of Public Health and Environment
