organization,domain,visible_url,job_title,job_url,location,remote_type,search_term,relevance_area,notes
Pearl Health,pearlhealth.com,https://www.pearlhealth.com,Staff Data Scientist Clinical Performance,https://www.pearlhealth.com/careers#role-listing,"San Francisco NYC Boston or Remote",Remote,data scientist,Data Science / Healthcare Analytics,Causal inference statistical frameworks forecasting clinical performance for value-based care
PointClickCare,pointclickcare.com,https://www.pointclickcare.com,Senior Research Scientist Life Sciences,https://jobs.lever.co/pointclickcare,Remote US or Canada,Remote,research,Research Scientist / RWE,LTPAC real-world evidence outcomes research using EHR data
Porsesh Policy Research Institute,prresearch.us,https://prresearch.us,Healthcare Consultant,https://prresearch.us/career/,Remote King County Washington,Remote,public health,Public Health / Program Evaluation,Community-centered immigrant health research
Porterhouse Medical Ltd,porterhousemedical.biz,https://www.porterhousemedical.biz,Medical Writer,https://www.porterhousemedical.com/careers/,Remote US East Coast preferred,Remote,medical writer,Medical Writing,Scientific publications for pharmaceutical clients
Porterhouse Medical Ltd,porterhousemedical.biz,https://www.porterhousemedical.biz,Senior Medical Writer,https://www.porterhousemedical.com/careers/,Remote US East Coast preferred,Remote,medical writer,Medical Writing,Lead writing assignments mentor team scientific content
PPD (Part of Thermo Fisher Scientific),ppd.com,https://www.ppd.com,Epidemiologist Senior Research Associate Evidera,https://jobs.thermofisher.com/global/en/clinical-research-clinical-development,Remote home-based,Remote,epidemiology,Epidemiology / HEOR,Retrospective observational pharmacoepidemiology studies using EMR claims registries
Precision AQ,precisionaq.com,https://www.precisionaq.com/medical-communications,Medical Writer Medical Communications,https://job-boards.greenhouse.io/precisionaq,Remote United States,Remote,medical writer,Medical Writing,Scientific content for peer-to-peer audiences and KOLs
Precision AQ,precisionaq.com,https://www.precisionaq.com/medical-communications,Medical Editor Medical Communications,https://job-boards.greenhouse.io/precisionaq,Remote United States,Remote,medical writer,Medical Writing,Medical editing and content development
Precision AQ,precisionaq.com,https://www.precisionaq.com/medical-communications,Associate Research Scientist Evidence Generation,https://job-boards.greenhouse.io/precisionaq,Remote United States,Remote,research,HEOR / Evidence Generation,Primary data collection qualitative quantitative analysis
Precision AQ,precisionaq.com,https://www.precisionaq.com/medical-communications,Senior Research Scientist Evidence Synthesis,https://job-boards.greenhouse.io/precisionaq,Remote United States,Remote,research,HEOR / Evidence Synthesis,Systematic literature reviews quantitative evidence synthesis
Precision AQ,precisionaq.com,https://www.precisionaq.com/medical-communications,Director Real World Evidence,https://job-boards.greenhouse.io/precisionaq,Remote United States,Remote,HEOR,HEOR / RWE,Lead RWE studies primary data collection observational analyses
Precision AQ,precisionaq.com,https://www.precisionaq.com/medical-communications,VP Value Demonstration Economic Modeling,https://job-boards.greenhouse.io/precisionaq,Remote United States,Remote,HEOR,Health Economics,Pharmacoeconomic models budget impact cost-effectiveness
Precision for Medicine HEOR,precisionformedicine.com,https://www.precisionformedicine.com/careers,Associate Director HEOR Economic Modeling,https://www.precisionformedicine.com/careers,Remote United States,Remote,HEOR,Health Economics,Cost-effectiveness budget impact models
Precision for Medicine HEOR,precisionformedicine.com,https://www.precisionformedicine.com/careers,Director Real World Evidence,https://www.precisionformedicine.com/careers,Remote United States,Remote,HEOR,HEOR / RWE,Lead RWE studies improving healthcare outcomes
Precision for Medicine HEOR,precisionformedicine.com,https://www.precisionformedicine.com/careers,Associate Research Scientist Evidence Generation,https://www.precisionformedicine.com/careers,Remote United States,Remote,research,HEOR / Evidence Generation,Primary data collection research studies
Precision for Medicine HEOR,precisionformedicine.com,https://www.precisionformedicine.com/careers,Senior Medical Writer,https://www.precisionformedicine.com/careers,Remote United States,Remote,medical writer,Medical Writing,Clinical study documents regulatory writing
Precision Medicine Group,precisionmedicinegroup.com,https://www.precisionmedicinegroup.com/careers/,Associate Director HEOR Economic Modeling,https://careers.precisiongroupcompanies.com,Remote United States,Remote,HEOR,Health Economics,Value demonstration economic modeling
Precision Medicine Group,precisionmedicinegroup.com,https://www.precisionmedicinegroup.com/careers/,Director Real World Evidence,https://careers.precisiongroupcompanies.com,Remote United States,Remote,HEOR,HEOR / RWE,Lead RWE research studies
Precision Medicine Group,precisionmedicinegroup.com,https://www.precisionmedicinegroup.com/careers/,Associate Research Scientist Evidence Generation,https://careers.precisiongroupcompanies.com,Remote United States,Remote,research,HEOR / Evidence Generation,Primary data collection research
Precision Medicine Group,precisionmedicinegroup.com,https://www.precisionmedicinegroup.com/careers/,Senior Medical Writer,https://careers.precisiongroupcompanies.com,Remote United States,Remote,medical writer,Medical Writing,Clinical study documents regulatory writing
Precision Value & Health,precisionvaluehealth.com,https://www.precisionvaluehealth.com/careers/,Senior Research Scientist Evidence Synthesis,https://www.precisionvaluehealth.com/careers/,Remote United States,Remote,research,HEOR / Evidence Synthesis,Systematic literature reviews evidence synthesis
Precision Value & Health,precisionvaluehealth.com,https://www.precisionvaluehealth.com/careers/,Associate Research Scientist Evidence Generation,https://www.precisionvaluehealth.com/careers/,Remote United States,Remote,research,HEOR / Evidence Generation,Primary data collection studies
Premier Research,premier-research.com,https://premier-research.com,Senior Director Biostatistics,https://premierresearch.wd12.myworkdayjobs.com/PremierResearch,Remote United States,Remote,biostatistics,Biostatistics,Full-time remote biostatistics leadership role
ProPharma Group,propharmagroup.com,https://www.propharmagroup.com/careers/,Principal Medical Writer Oncology,https://propharmagroup.wd1.myworkdayjobs.com/ppgcareers,United States,Remote,medical writer,Medical Writing,Oncology medical writing principal level
ProPharma Group,propharmagroup.com,https://www.propharmagroup.com/careers/,Senior Medical Writer Cardio/Metabolic Health,https://propharmagroup.wd1.myworkdayjobs.com/ppgcareers,United States,Remote,medical writer,Medical Writing,Cardio metabolic medical writing senior level
Public Policy Institute (Elevance Health),elevancehealth.com,https://www.elevancehealth.com/public-policy-institute,Biostatistician Health Services Research,https://careers.elevancehealth.com,Remote US,Remote,biostatistics,Biostatistics / Health Services Research,Health services research biostatistics fully remote US
SmarterDx,smarterdx.com,https://smarterdx.com,Data Scientist,https://smarterdx.com/careers,Remote US,Remote,data scientist,Data Science / Healthcare Analytics,Fully remote US data science team
SmarterDx,smarterdx.com,https://smarterdx.com,Senior Data Scientist,https://smarterdx.com/careers,Remote US,Remote,data scientist,Data Science / Healthcare Analytics,Fully remote US senior data science
SmarterDx,smarterdx.com,https://smarterdx.com,Data Engineering Manager,https://smarterdx.com/careers,Remote US,Remote,data scientist,Healthcare Analytics,Fully remote US data engineering leadership
Spring Health,springhealth.com,https://www.springhealth.com/careers,Senior Data Analyst Specialty Care,https://www.springhealth.com/careers,Remote US,Remote,data scientist,Healthcare Analytics,Mental health tech remote data analyst role
